filename,title,year,source,status,role
ChainOfExperts_2024.pdf,"Chain-of-Experts: When LLMs Meet Complex OR Problems",2024,"ICLR 2024 proceedings",downloaded_verified,"翻译-建模-编码-审查多智能体求解OR"
CloudOpsBench_2026.pdf,"Cloud-OpsBench: agentic云运维RCA评测",2026,"arXiv:2603.00468",downloaded_verified,"Generator-Executor-Verifier场景闭环+状态快照冻结(场景库模板)"
CorrectnessNotFaithfulness_2024.pdf,"Correctness is not Faithfulness in RAG Attributions",2024,"arXiv:2412.18004",downloaded_verified,"statement级忠实度依据(SIGIR'25)"
CounterBench_2025.pdf,"CounterBench: LLM反事实推理评测",2025,"arXiv:2502.11008",downloaded_verified,"LLM反事实≈随机(hard案例假设依据)"
DynaSchedBench_2026.pdf,"DynaSchedBench: 动态调度LLM agent受控评测",2026,"arXiv:2605.27566",downloaded_verified,"planted-fault评测+observability paradox"
EoH_2024.pdf,"Evolution of Heuristics: Efficient Automatic Algorithm Design via LLM",2024,"arXiv:2401.02051",downloaded_verified,"LLM启发式进化(思想+代码双表示)"
ExecutableCounterfactuals_2025.pdf,"Executable Counterfactuals(反事实基准普遍跳过abduction)",2025,"arXiv:2510.01539",downloaded_verified,"abduction缺失高估反事实能力(hard案例依据)"
HowFar_RCA_Telemetry_2026.pdf,"How Far Can RCA Go on Real-World Telemetry Data?",2026,"arXiv:2607.13548",downloaded_verified,"真实遥测RCA全线失败(难度动机)"
ITBench_2025.pdf,"ITBench: agentic AI基准(SRE/CISO/FinOps)",2025,"arXiv:2502.05352",downloaded_verified,"混沌工程注入ground truth评测基准"
KG_Warehouse_2025.pdf,"KG+LLM仓储低效归因",2025,"arXiv:2507.17273",downloaded_verified,"事后归因近邻(仓储域)"
LLM+P_2023.pdf,"LLM+P: Empowering LLMs with Optimal Planning Proficiency",2023,"arXiv:2304.11477",downloaded_verified,"翻译-形式求解模式鼻祖"
LLM-Modulo_2024.pdf,"LLM-Modulo Frameworks(ICML position)",2024,"arXiv:2402.01817",downloaded_verified,"生成-验证闭环定调文"
LLM-NAR_2025.pdf,"LLM-NAR: GNN算法推理器引导LLM做MAPF",2025,"arXiv:2508.17971",downloaded_verified,"混合路线(LLM不直接规划)"
LLMDigitalTwin_2025.pdf,"LLM Agents + Digital Twins(流程工厂故障纠正)",2025,"arXiv:2505.02076",downloaded_verified,"DT实施前验证LLM动作——干预桥最近先例"
LLMHeurFromTraces_2026.pdf,"LLM-Guided Heuristic Design from Simulation Traces",2026,"arXiv:2608.09343",downloaded_verified,"重仿真验证LLM输出最近学术先例(100 matched seeds)"
LLM_RCA_Failures_2026.pdf,"开源LLM云RCA推理失败分析",2026,"arXiv:2601.22208",downloaded_verified,"RCA失败模式证据"
LLaMEA_2024.pdf,"LLaMEA: LLM Evolutionary Algorithm for Metaheuristics",2024,"arXiv:2405.20132",downloaded_verified,"LLM进化元启发式(参数收缩教训来源)"
LogRCA_2024.pdf,"LogRCA: 日志根因分析数据集",2024,"arXiv:2405.13599",downloaded_verified,"日志RCA数据集"
LogReasoner_2025.pdf,"LogReasoner: 日志RCA推理",2025,"arXiv:2509.20798",downloaded_verified,"日志RCA方法"
Logic-LM_2023.pdf,"Logic-LM: Empowering LLMs with Symbolic Solvers",2023,"arXiv:2305.12295",downloaded_verified,"NL-符号求解器翻译模式"
MAPF_LLM_Unsolvable_2024.pdf,"Why Solving MAPF with LLMs is (Currently) Unsolvable",2024,"arXiv:2401.03630",downloaded_verified,"LLM直接MAPF被证伪(定位依据)"
MAPF_OfflineRL_LLM_2025.pdf,"MAPF via Offline RL + LLM",2025,"arXiv:2509.22130",downloaded_verified,"MAPF+LLM混合路线"
OPRO_2024.pdf,"Large Language Models as Optimizers",2024,"arXiv:2309.03409",downloaded_verified,"LLM-as-optimizer 先例(生成-评分循环)"
OpenRCA2_2026.pdf,"OpenRCA 2.0: 结果标注→因果过程监督",2026,"arXiv:2606.27154",downloaded_verified,"归因范式重点读:process supervision"
RCACopilot_2023.pdf,"Automatic Root Cause Analysis via LLMs for Cloud Incidents",2023,"arXiv:2305.15778",downloaded_verified,"单轮打包RCA代表(微软)"
RCAgent_2023.pdf,"RCAgent: Cloud Root Cause Analysis by Autonomous Agents with LLMs",2023,"arXiv:2310.16340",downloaded_verified,"agentic工具调用RCA先例"
ReEvo_2024.pdf,"ReEvo: LLMs as Hyper-Heuristics with Reflection",2024,"arXiv:2402.01145",downloaded_verified,"反思式超启发式——反思精化级方法来源"
ReflecSched_2025.pdf,"ReflecSched: LLM读仿真轨迹提炼策略经验(动态FJSP)",2025,"arXiv:2508.01724",downloaded_verified,"最近邻:在线反思(非事后诊断),related work必须切割"
Starjob_2025.pdf,"Starjob: SFT LLM直接解JSSP(数据集+模型)",2025,"arXiv:2503.01877",downloaded_verified,"微调直接求解路线(先已下载)"
TamingRandomness_ABM_2024.pdf,"Noise-free comparison of stochastic ABM using common random numbers",2024,"arXiv:2409.02086",downloaded_verified,"CRN随机流同步方法学(反事实协议依据)"
WhatIfBench_2026.pdf,"WhatIfBench: 长程开放域反事实崩塌",2026,"arXiv:2608.27953",downloaded_verified,"LLM反事实能力边界"
mABC_2024.pdf,"mABC: Multi-Agent Blockchain-Inspired Collaboration for Root Cause Analysis",2024,"arXiv:2404.12135",downloaded_verified,"多agent投票RCA(抑制幻觉)"
(仅引用)FunSearch_Nature2024,"Mathematical discoveries from program search with LLMs",2024,"doi:10.1038/s41586-023-06924-6",citation_only,"无arXiv预印本,付费墙"
(仅引用)OpenRCA_ICLR2025,"OpenRCA: Can LLMs Locate the Root Cause of Software Failures?",2025,"openreview:M4qNIzQYpd",citation_only,"OpenReview反爬;2.0已下载"
(仅引用)MASC_2025,"MASC: ReAct多智能体FJSP分析",2025,"Adv.Eng.Informatics",citation_only,"付费墙"
(仅引用)LLMsCanSchedule_2025,"LLMs Can Schedule?(存在性未确证,勿引)",2025,"DSO workshop",citation_only,"未确证"
(仅引用)MAEF_2025,"MAEF",2025,"C&IE",citation_only,"付费墙(先有记录)"
